application_id,term,program,major,country,uni_tier,cgpa_10,gre_total,gre_aw,toefl,ielts,work_exp_years,internships,projects,research_exp,publications,sop_score,lor_score,portfolio_score,interview_score,gender,income_bucket,first_gen,chance_of_admit,admit_label
1,Spring 2026,MBA,DS,Qatar,Tier2,7.87,317,2.5,101,,5.2,3,5,True,1,4.0,4.0,2.0,3.0,Female,Middle,True,0.8736,1
2,Spring 2025,MS,Econ,Saudi Arabia,Tier1,6.66,260,3.5,98,7.0,2.9,0,3,False,0,2.5,3.5,5.0,3.0,Male,Low,True,0.4887,0
3,Fall 2024,MS,DS,Saudi Arabia,Tier1,8.28,301,5.0,89,7.5,1.6,0,7,True,1,3.5,5.0,2.0,3.0,Male,Middle,True,0.8222,1
4,Fall 2024,MBA,CS,Kenya,Tier2,8.45,321,3.5,99,6.0,0.9,0,1,True,1,4.0,3.0,4.5,4.0,Female,Middle,True,0.835,1
5,Spring 2026,MTech,CS,Italy,Tier2,5.84,260,4.5,85,6.0,3.4,2,5,False,0,3.0,1.5,2.5,4.5,Female,Low,True,0.4491,0
6,Spring 2026,MS,DS,France,Tier2,6.43,269,3.0,101,7.5,1.0,2,2,False,0,4.0,3.0,3.0,1.5,Male,Low,False,0.6062,1
7,Spring 2026,MS,CS,Indonesia,Tier1,7.72,320,3.5,103,6.5,4.2,1,4,True,2,3.0,4.0,5.0,2.5,Male,Low,False,0.8185,1
8,Fall 2024,PhD,Civil,Canada,Tier2,7.32,296,4.0,103,5.5,2.5,0,3,False,1,4.0,4.5,2.0,2.5,Male,Middle,False,0.6678,1
9,Spring 2026,MS,CS,Italy,Tier2,7.58,306,3.5,92,6.5,3.1,1,1,False,0,4.0,2.5,2.5,3.5,Male,Middle,False,0.661,1
10,Fall 2025,MS,Finance,Ghana,Tier2,6.83,289,3.5,97,,2.9,0,0,True,2,1.5,3.0,2.0,3.0,Female,Low,False,0.6041,0
11,Fall 2025,MS,Mech,Canada,Tier3,8.39,313,2.0,102,,0.7,1,4,False,0,3.0,3.0,3.0,3.0,Male,Middle,False,0.7812,1
12,Fall 2025,MS,DS,Bangladesh,Tier1,8.3,322,5.0,106,,3.9,2,4,False,0,4.0,3.5,3.5,2.5,Male,Middle,False,0.8051,1
13,Spring 2026,MTech,DS,Sweden,Tier2,7.66,317,4.0,105,,2.8,1,0,False,0,4.5,3.0,3.0,3.5,Male,Low,False,0.7171,0
14,Spring 2026,MBA,CS,India,Tier1,8.61,299,3.5,93,,0.0,1,2,False,0,3.5,3.0,4.5,2.5,Female,Middle,False,0.7651,0
15,Spring 2026,MBA,DS,Kenya,Tier3,8.02,304,5.5,82,7.5,0.0,1,1,False,0,5.0,3.5,3.0,3.0,Male,Middle,False,0.7107,1
16,Fall 2025,MS,Mech,Qatar,Tier3,6.83,283,3.0,99,,0.0,3,2,False,1,3.0,3.5,2.0,4.0,Female,Low,False,0.6169,0
17,Spring 2025,MTech,DS,Indonesia,Tier3,7.93,299,3.5,100,7.5,1.7,0,4,False,1,3.0,3.5,3.5,1.5,Female,Low,False,0.7261,1
18,Spring 2025,MBA,Finance,Nigeria,Tier1,6.74,292,3.0,81,8.5,1.5,1,2,False,0,4.0,3.5,4.0,4.0,Female,Middle,True,0.5996,1
19,Spring 2026,MBA,DS,France,Tier1,8.39,314,5.0,107,,3.4,1,0,False,1,3.0,4.5,2.5,4.0,Male,Low,True,0.8474,1
20,Spring 2026,PhD,ECE,Canada,Tier1,7.56,316,5.5,98,,4.8,0,3,False,0,4.0,4.5,2.5,4.0,Male,Low,False,0.8017,1
21,Spring 2026,MS,Finance,Sweden,Tier2,7.43,305,5.0,94,5.5,2.8,1,3,False,0,2.5,3.0,3.0,2.5,Male,Low,True,0.6543,1
